Flow,t0,t0_iso,dt0,pa,da,v,dv,minv,maxv,halo
0020,2024/08/22 06:00,2024-08-22T06_00_00.000000000,01,037,012,0284,0016,0258,0309,
0019,2024/08/20 00:24,2024-08-20T00_24_00.000000000,01,042,010,0103,0002,0101,0107,
0018,2024/08/17 12:36,2024-08-17T12_36_00.000000000,01,346,022,0215,0013,0189,0232,
0017,2024/08/17 10:24,2024-08-17T10_24_00.000000000,00,288,006,0189,0030,0142,0224,
0016,2024/08/15 19:00,2024-08-15T19_00_00.000000000,01,030,014,0376,0000,0376,0376,
0015,2024/08/14 12:54,2024-08-14T12_54_00.000000000,01,276,018,0407,0124,0165,0488,
0014,2024/08/14 12:24,2024-08-14T12_24_00.000000000,01,115,048,1953,0000,1953,1953,
0013,2024/08/14 08:36,2024-08-14T08_36_00.000000000,01,006,010,0273,0041,0228,0343,
0012,2024/08/13 04:00,2024-08-13T04_00_00.000000000,01,188,006,0438,0184,0385,0801,
0011,2024/08/09 08:24,2024-08-09T08_24_00.000000000,01,045,020,0372,0000,0372,0372,
0010,2024/08/07 16:12,2024-08-07T16_12_00.000000000,01,176,006,0153,0003,0148,0155,
0009,2024/08/07 15:48,2024-08-07T15_48_00.000000000,01,150,006,0158,0099,0101,0347,
0008,2024/08/07 14:36,2024-08-07T14_36_00.000000000,01,130,014,0228,0006,0219,0238,
0007,2024/08/07 14:06,2024-08-07T14_06_00.000000000,00,084,046,0361,0025,0325,0411,
0006,2024/08/07 02:30,2024-08-07T02_30_00.000000000,01,155,016,0288,0027,0231,0307,
0005,2024/08/06 18:24,2024-08-06T18_24_00.000000000,01,305,008,0452,0000,0452,0452,
0004,2024/08/05 10:36,2024-08-05T10_36_00.000000000,01,153,012,0236,0011,0229,0256,
0003,2024/08/05 02:12,2024-08-05T02_12_00.000000000,01,111,056,0249,0021,0230,0332,
0002,2024/08/04 22:00,2024-08-04T22_00_00.000000000,01,096,022,0342,0035,0264,0400,
0001,2024/08/01 00:06,2024-08-01T00_06_00.000000000,01,180,010,0305,0023,0267,0322,
0036,2024/09/29 10:12,2024-09-29T10_12_00.000000000,01,297,008,1041,0000,1041,1041,
0035,2024/09/27 03:30,2024-09-27T03_30_00.000000000,01,115,016,0392,0275,0165,0928,
0034,2024/09/27 00:24,2024-09-27T00_24_00.000000000,00,165,008,0133,0000,0133,0133,
0033,2024/09/27 00:12,2024-09-27T00_12_00.000000000,01,163,008,0114,0006,0107,0124,
0032,2024/09/26 18:24,2024-09-26T18_24_00.000000000,02,103,040,0267,0043,0200,0372,
0031,2024/09/26 09:12,2024-09-26T09_12_00.000000000,02,303,008,0165,0027,0111,0184,
0030,2024/09/25 16:36,2024-09-25T16_36_00.000000000,01,100,010,0199,0047,0154,0289,
0029,2024/09/23 19:48,2024-09-23T19_48_00.000000000,04,215,052,0162,0012,0129,0178,
0028,2024/09/22 21:36,2024-09-22T21_36_00.000000000,01,149,056,1550,0000,1550,1550,
0027,2024/09/22 14:00,2024-09-22T14_00_00.000000000,00,301,008,0625,0249,0385,1008,
0026,2024/09/21 23:12,2024-09-21T23_12_00.000000000,01,214,018,1837,0000,1837,1837,
0025,2024/09/21 15:48,2024-09-21T15_48_00.000000000,03,024,082,0149,0013,0117,0169,
0024,2024/09/18 02:24,2024-09-18T02_24_00.000000000,01,160,010,0311,0060,0252,0413,
0023,2024/09/16 06:12,2024-09-16T06_12_00.000000000,00,040,006,0335,0032,0303,0385,
0022,2024/09/14 17:00,2024-09-14T17_00_00.000000000,02,179,008,0274,0000,0274,0274,
0021,2024/09/14 13:25,2024-09-14T13_25_00.000000000,01,105,012,0240,0074,0187,0411,
0020,2024/09/14 11:54,2024-09-14T11_54_00.000000000,02,206,022,0969,0399,0499,1785,
0019,2024/09/14 07:00,2024-09-14T07_00_00.000000000,01,103,052,1077,0000,1077,1077,
0018,2024/09/14 07:00,2024-09-14T07_00_00.000000000,01,035,056,1077,0000,1077,1077,
0017,2024/09/14 07:00,2024-09-14T07_00_00.000000000,01,301,008,1077,0000,1077,1077,
0016,2024/09/13 21:36,2024-09-13T21_36_00.000000000,01,211,008,0644,0045,0568,0694,
0015,2024/09/13 15:36,2024-09-13T15_36_00.000000000,01,301,012,0303,0073,0192,0376,
0014,2024/09/13 05:12,2024-09-13T05_12_00.000000000,02,272,018,0388,0170,0101,0496,
0013,2024/09/12 22:36,2024-09-12T22_36_00.000000000,02,095,020,0141,0094,0101,0367,
0012,2024/09/12 17:24,2024-09-12T17_24_00.000000000,01,077,008,0162,0046,0106,0223,
0011,2024/09/10 02:12,2024-09-10T02_12_00.000000000,01,251,008,1602,0000,1602,1602,
0010,2024/09/09 18:12,2024-09-09T18_12_00.000000000,01,018,010,0169,0032,0109,0211,
0009,2024/09/09 16:00,2024-09-09T16_00_00.000000000,02,293,024,0273,0068,0147,0363,
0008,2024/09/09 15:24,2024-09-09T15_24_00.000000000,01,274,014,0324,0113,0144,0400,
0007,2024/09/07 20:24,2024-09-07T20_24_00.000000000,01,041,012,0276,0000,0276,0276,
0006,2024/09/03 15:48,2024-09-03T15_48_00.000000000,01,278,014,0322,0011,0315,0343,
0005,2024/09/03 14:36,2024-09-03T14_36_00.000000000,04,223,036,0613,0171,0343,0919,
0004,2024/09/03 03:36,2024-09-03T03_36_00.000000000,01,113,020,0196,0118,0124,0434,
0003,2024/09/03 00:48,2024-09-03T00_48_00.000000000,01,117,020,0215,0040,0178,0306,
0002,2024/09/02 11:36,2024-09-02T11_36_00.000000000,02,010,006,0107,0006,0101,0117,
0001,2024/09/01 13:36,2024-09-01T13_36_00.000000000,01,320,026,1157,0000,1157,1157,
0034,2024/10/30 01:30,2024-10-30T01_30_00.000000000,00,333,008,0197,0000,0197,0197,
0033,2024/10/29 20:02,2024-10-29T20_02_00.000000000,01,219,008,0395,0072,0372,0512,
0032,2024/10/28 13:24,2024-10-28T13_24_00.000000000,01,228,042,0686,0000,0686,0686,
0031,2024/10/28 12:00,2024-10-28T12_00_00.000000000,00,186,010,0718,0000,0718,0718,
0030,2024/10/28 12:00,2024-10-28T12_00_00.000000000,02,075,016,0198,0001,0196,0199,
0029,2024/10/28 09:00,2024-10-28T09_00_00.000000000,01,034,038,0180,0000,0180,0180,
0028,2024/10/28 09:00,2024-10-28T09_00_00.000000000,03,088,038,0180,0000,0180,0180,
0027,2024/10/28 05:00,2024-10-28T05_00_00.000000000,02,063,008,0153,0009,0138,0164,
0026,2024/10/28 04:48,2024-10-28T04_48_00.000000000,02,102,022,0160,0004,0154,0167,
0025,2024/10/26 08:36,2024-10-26T08_36_00.000000000,01,117,012,0239,0000,0239,0239,
0024,2024/10/26 08:00,2024-10-26T08_00_00.000000000,02,104,018,0437,0006,0430,0449,
0023,2024/10/26 04:36,2024-10-26T04_36_00.000000000,01,243,028,0137,0630,0072,1736,
0022,2024/10/26 03:36,2024-10-26T03_36_00.000000000,01,243,016,0071,0000,0071,0071,
0021,2024/10/25 22:18,2024-10-25T22_18_00.000000000,04,247,044,0121,0002,0115,0125,
0020,2024/10/25 20:24,2024-10-25T20_24_00.000000000,02,256,014,0114,0000,0114,0114,
0019,2024/10/25 19:36,2024-10-25T19_36_00.000000000,01,232,010,0111,0000,0111,0111,
0018,2024/10/25 15:24,2024-10-25T15_24_00.000000000,02,237,020,0107,0000,0107,0107,
0017,2024/10/23 18:00,2024-10-23T18_00_00.000000000,01,117,012,0390,0163,0347,0718,
0016,2024/10/23 17:24,2024-10-23T17_24_00.000000000,02,350,006,0240,0053,0146,0277,
0015,2024/10/21 17:48,2024-10-21T17_48_00.000000000,01,074,010,0379,0063,0263,0459,
0014,2024/10/20 06:12,2024-10-20T06_12_00.000000000,01,084,026,0160,0012,0137,0178,
0013,2024/10/19 03:48,2024-10-19T03_48_00.000000000,01,274,010,0228,0042,0135,0250,
0012,2024/10/16 21:24,2024-10-16T21_24_00.000000000,01,250,022,0287,0031,0238,0339,
0011,2024/10/11 07:12,2024-10-11T07_12_00.000000000,01,117,012,0127,0024,0117,0175,
0010,2024/10/11 04:00,2024-10-11T04_00_00.000000000,01,103,044,0125,0024,0100,0179,
0009,2024/10/06 14:24,2024-10-06T14_24_00.000000000,01,215,012,0191,0005,0183,0198,
0008,2024/10/05 15:48,2024-10-05T15_48_00.000000000,02,246,046,0315,0077,0174,0443,
0007,2024/10/05 11:12,2024-10-05T11_12_00.000000000,01,226,010,0243,0106,0172,0416,
0006,2024/10/04 20:48,2024-10-04T20_48_00.000000000,00,009,008,0258,0000,0258,0258,
0005,2024/10/04 08:24,2024-10-04T08_24_00.000000000,01,203,012,0274,0079,0254,0416,
0004,2024/10/03 21:24,2024-10-03T21_24_00.000000000,01,182,006,0221,0000,0221,0221,
